FarmerID,FullName,Gender,Age,Region,District,PhoneNumber,RegistrationDate
F001,Alhassan Fuseini,Male,32,Ashanti,Ejisu,501234567,15/01/2024
F002,Akosua Mensah,Female,28,Eastern,New Juaben,549876543,16/01/2024
F003,Kofi Owusu,Male,45,Northern,Tamale,505678901,17/01/2024
F004,Ama Ofori,Female,37,Bono East,Techiman,203456789,18/01/2024
F005,Kwabena Asante,Male,24,Volta,Ho,271237890,19/01/2024
F006,Adjoa Appiah,Female,33,Ashanti,Kumasi,501112223,20/01/2024
F007,Mohammed Issah,Male,40,Northern,Savelugu,209876543,21/01/2024
F008,Abena Boateng,Female,22,Central,Cape Coast,556781234,22/01/2024
F009,Kwame Antwi,Male,31,Eastern,Koforidua,261239876,23/01/2024
F010,Efua Darko,Female,29,Bono East,Kintampo,243459876,24/01/2024
F011,John Doe,Male,35,Central,Mankessim,501122334,25/01/2024
F012,Akua Agyeman,Female,27,Volta,Hohoe,245671234,26/01/2024
F013,Yaw Adjei,Male,42,Ashanti,Obuasi,204567891,27/01/2024
F014,Serwaa Dapaah,Female,30,Eastern,Suhum,557894561,28/01/2024
F015,Daniel Mensah,Male,25,Bono East,Atebubu,264561238,29/01/2024
F016,Afia Sarpong,Female,31,Northern,Yendi,272345678,30/01/2024
F017,Joseph Kyei,Male,48,Central,Twifo Praso,203459812,31/01/2024
F018,Esi Addo,Female,23,Volta,Kpando,543217890,01/02/2024
F019,Emmanuel Baah,Male,29,Ashanti,Mampong,509988776,02/02/2024
F020,Nana Ama Boateng,Female,26,Eastern,Asamankese,241122443,03/02/2024
F021,Abdul Rahman,Male,38,Northern,Gushegu,556677889,04/02/2024
F022,Akua Frempong,Female,34,Bono East,Nkoranza,262233445,05/02/2024
F023,Michael Appiah,Male,41,Central,Winneba,204433221,06/02/2024
F024,Akosua Badu,Female,28,Volta,Anloga,277788990,07/02/2024
F025,Samuel Owusu,Male,36,Ashanti,Konongo,504455667,08/02/2024
F026,Naana Adusei,Female,29,Eastern,Akim Oda,551122334,09/02/2024
F027,Issah Yakubu,Male,43,Northern,Karaga,205566778,10/02/2024
F028,Efua Osei,Female,24,Central,Elmina,249988776,11/02/2024
F029,Kwesi Asare,Male,33,Volta,Aflao,263344556,12/02/2024
F030,Abena Serwaa,Female,27,Ashanti,Asante Bekwai,556677880,13/02/2024
F031,Yaw Boakye,Male,35,Central,Agona Swedru,508899776,14/02/2024
F032,Afia Nyarko,Female,30,Volta,Dzodze,543332211,15/02/2024
F033,Kojo Armah,Male,27,Ashanti,Nkawie,269988771,16/02/2024
F034,Esi Korang,Female,39,Eastern,Aburi,244556678,17/02/2024
F035,Samuel Tetteh,Male,41,Bono East,Wenchi,551122987,18/02/2024
F036,Ama Adjei,Female,25,Northern,Buipe,203322114,19/02/2024
F037,Michael Owusu,Male,36,Central,Breman Asikuma,274433221,20/02/2024
F038,Akua Serwaa,Female,28,Eastern,Nsawam,241144223,21/02/2024
F039,Isaac Amponsah,Male,32,Ashanti,Effiduase,501237890,22/02/2024
F040,Nana Yaa Kusi,Female,34,Bono East,Nsawkaw,549876543,23/02/2024
F041,Abdul Malik,Male,38,Northern,Tolon,204563217,24/02/2024
F042,Efua Agyeman,Female,26,Central,Kasoa,557654321,25/02/2024
F043,Kwame Owusu,Male,31,Volta,Ho,501234432,26/02/2024
F044,Adwoa Appiah,Female,29,Ashanti,Bekwai,269871234,27/02/2024
F045,Josephine Addo,Female,27,Eastern,Akim Oda,248791234,28/02/2024
F046,Kwabena Baah,Male,45,Bono East,Atebubu,201345678,29/02/2024
F047,Nana Adoma,Female,33,Northern,Tamale,277688990,01/03/2024
F048,Samuel Adu,Male,40,Central,Winneba,503355221,02/03/2024
F049,Afua Asantewaa,Female,23,Volta,Keta,541112233,03/03/2024
F050,Michael Darko,Male,37,Eastern,New Juaben,550099887,04/03/2024
F051,Ama Serwaa,Female,31,Ashanti,Kumawu,248899771,05/03/2024
F052,Isaac Donkor,Male,29,Bono East,Techiman,207788990,06/03/2024
F053,Eunice Osei,Female,28,Central,Elmina,265432134,07/03/2024
F054,Kojo Bediako,Male,30,Volta,Akatsi,509876521,08/03/2024
F055,Adjoa Essel,Female,26,Eastern,Akyem Tafo,243322114,09/03/2024
F056,Kwaku Frimpong,Male,35,Northern,Savelugu,542211443,10/03/2024
F057,Nana Ekua,Female,32,Ashanti,Konongo,558974312,11/03/2024
F058,Albert Asamoah,Male,38,Central,Cape Coast,275643211,12/03/2024
F059,Akosua Adjei,Female,24,Bono East,Nkoranza,206677889,13/03/2024
F060,Richard Ofori,Male,44,Eastern,Koforidua,247766554,14/03/2024
F061,Afia Owusu,Female,30,Ashanti,Kumasi,505544332,15/03/2024
F062,Kofi Adu,Male,27,Central,Mankessim,243344556,16/03/2024
F063,Akua Boateng,Female,22,Eastern,Suhum,267654321,17/03/2024
F064,Joseph Asare,Male,29,Bono East,Wenchi,549988776,18/03/2024
F065,Nana Esi,Female,31,Volta,Hohoe,201223344,19/03/2024
F066,Yaw Owusu,Male,37,Northern,Tamale,557766544,20/03/2024
F067,Adwoa Dapaah,Female,25,Ashanti,Obuasi,248997654,21/03/2024
F068,Emmanuel Tetteh,Male,40,Eastern,Koforidua,263344567,22/03/2024
F069,Akosua Frempong,Female,29,Bono East,Atebubu,209988771,23/03/2024
F070,Samuel Yeboah,Male,33,Central,Twifo Praso,276655443,24/03/2024
F071,Esi Amponsah,Female,28,Ashanti,Mampong,503344552,25/03/2024
F072,Abdul Karim,Male,41,Northern,Gushegu,546677889,26/03/2024
F073,Abena Agyeman,Female,34,Volta,Kpando,245533124,27/03/2024
F074,Kwame Sarpong,Male,39,Eastern,Asamankese,201234433,28/03/2024
F075,Akua Asiedu,Female,30,Bono East,Nsawkaw,267788990,29/03/2024
F076,Isaac Owusu,Male,36,Ashanti,Bekwai,559988774,30/03/2024
F077,Ama Nyarko,Female,24,Central,Kasoa,205566443,31/03/2024
F078,Kwaku Antwi,Male,35,Volta,Aflao,546677880,01/04/2024
F079,Eunice Adu,Female,27,Northern,Yendi,505544432,02/04/2024
F080,Michael Anane,Male,42,Eastern,Akim Oda,241122000,03/04/2024
F081,Afia Antwiwaa,Female,33,Ashanti,Ejisu,268876543,04/04/2024
F082,Albert Owusu,Male,30,Bono East,Techiman,559988001,05/04/2024
F083,Akosua Nyamekye,Female,28,Eastern,Nsawam,203344551,06/04/2024
F084,Kwesi Boateng,Male,44,Central,Elmina,544455667,07/04/2024
F085,Adjoa Agyapong,Female,26,Northern,Karaga,249998876,08/04/2024
F086,Yaw Ampofo,Male,38,Ashanti,Konongo,263322110,09/04/2024
F087,Nana Aba,Female,31,Bono East,Nkoranza,556677990,10/04/2024
F088,Samuel Appiah,Male,29,Eastern,New Juaben,202233445,11/04/2024
F089,Esi Konadu,Female,35,Volta,Anloga,248899002,12/04/2024
F090,Kojo Owusu,Male,36,Central,Cape Coast,507788991,13/04/2024
F091,Abena Owusu,Female,27,Ashanti,Kumasi,546677885,14/04/2024
F092,Isaac Mensah,Male,39,Central,Agona Swedru,203344559,15/04/2024
F093,Akua Adusei,Female,24,Eastern,Suhum,269988770,16/04/2024
F094,Kofi Asamoah,Male,33,Bono East,Wenchi,551122335,17/04/2024
F095,Nana Afia,Female,29,Volta,Hohoe,204455667,18/04/2024
F096,Yaw Adomako,Male,42,Northern,Tamale,549988770,19/04/2024
F097,Adwoa Sarpong,Female,31,Ashanti,Obuasi,246655443,20/04/2024
F098,Emmanuel Baidoo,Male,36,Eastern,Koforidua,265544332,21/04/2024
F099,Akosua Boadu,Female,28,Bono East,Atebubu,207766554,22/04/2024
F100,Samuel Korang,Male,40,Central,Twifo Praso,273344550,23/04/2024
F101,Esi Amankwaa,Female,25,Ashanti,Mampong,503341221,24/04/2024
F102,Abdul Fatawu,Male,38,Northern,Gushegu,556677885,25/04/2024
F103,Abena Dede,Female,30,Volta,Kpando,245544432,26/04/2024
F104,Kwame Frimpong,Male,45,Eastern,Asamankese,201122334,27/04/2024
F105,Akua Ampofo,Female,32,Bono East,Nsawkaw,267788002,28/04/2024
F106,Isaac Darko,Male,35,Ashanti,Bekwai,559988773,29/04/2024
F107,Ama Asiedua,Female,27,Central,Kasoa,204455332,30/04/2024
F108,Kwaku Ansah,Male,34,Volta,Aflao,546677888,01/05/2024
F109,Eunice Addai,Female,29,Northern,Yendi,505544331,02/05/2024
F110,Michael Owusu,Male,43,Eastern,Akim Oda,241122550,03/05/2024
F111,Afia Owusuwaa,Female,31,Ashanti,Ejisu,268876500,04/05/2024
F112,Albert Baah,Male,29,Bono East,Techiman,559988111,05/05/2024
F113,Akosua Adoma,Female,26,Eastern,Nsawam,203344599,06/05/2024
F114,Kwesi Owusu,Male,37,Central,Elmina,544455600,07/05/2024
F115,Adjoa Yeboah,Female,25,Northern,Karaga,249998870,08/05/2024
F116,Yaw Boadi,Male,41,Ashanti,Konongo,263322199,09/05/2024
F117,Nana Akua,Female,28,Bono East,Nkoranza,556677991,10/05/2024
F118,Samuel Antwi,Male,32,Eastern,New Juaben,202233499,11/05/2024
F119,Esi Ampomah,Female,33,Volta,Anloga,248899009,12/05/2024
F120,Kojo Amponsah,Male,40,Central,Cape Coast,507788999,13/05/2024
F121,Abena Serwaa,Female,29,Ashanti,Kumasi,546677801,14/05/2024
F122,Isaac Kofi,Male,34,Central,Agona Swedru,203344501,15/05/2024
F123,Akua Mensimah,Female,27,Eastern,Suhum,269988701,16/05/2024
F124,Kofi Mensah,Male,39,Bono East,Wenchi,551122301,17/05/2024
F125,Nana Akosua,Female,25,Volta,Hohoe,204455601,18/05/2024
F126,Yaw Kwarteng,Male,42,Northern,Tamale,549988701,19/05/2024
F127,Adwoa Owusuwaa,Female,30,Ashanti,Obuasi,246655401,20/05/2024
F128,Emmanuel Boadu,Male,36,Eastern,Koforidua,265544301,21/05/2024
F129,Akosua Aboagye,Female,28,Bono East,Atebubu,207766501,22/05/2024
F130,Samuel Asamoah,Male,40,Central,Twifo Praso,273344501,23/05/2024
F131,Esi Amoako,Female,26,Ashanti,Mampong,503341201,24/05/2024
F132,Abdul Rashid,Male,37,Northern,Gushegu,556677801,25/05/2024
F133,Abena Afriyie,Female,31,Volta,Kpando,245544401,26/05/2024
F134,Kwame Addo,Male,44,Eastern,Asamankese,201122301,27/05/2024
F135,Akua Ama,Female,33,Bono East,Nsawkaw,267788001,28/05/2024
F136,Isaac Appiah,Male,35,Ashanti,Bekwai,559988701,29/05/2024
F137,Ama Asamoah,Female,28,Central,Kasoa,204455301,30/05/2024
F138,Kwaku Bediako,Male,34,Volta,Aflao,546677801,31/05/2024
F139,Eunice Akoto,Female,27,Northern,Yendi,505544301,01/06/2024
F140,Michael Frimpong,Male,43,Eastern,Akim Oda,241122501,02/06/2024
F141,Afia Asiedu,Female,32,Ashanti,Ejisu,268876501,03/06/2024
F142,Albert Owusu,Male,30,Bono East,Techiman,559988101,04/06/2024
F143,Akosua Adjei,Female,29,Eastern,Nsawam,203344501,05/06/2024
F144,Kwesi Antwi,Male,36,Central,Elmina,544455601,06/06/2024
F145,Adjoa Owusuaa,Female,24,Northern,Karaga,249998801,07/06/2024
F146,Yaw Asare,Male,40,Ashanti,Konongo,263322101,08/06/2024
F147,Nana Abena,Female,27,Bono East,Nkoranza,556677901,09/06/2024
F148,Samuel Adu,Male,33,Eastern,New Juaben,202233401,10/06/2024
F149,Esi Amoako,Female,31,Volta,Anloga,248899001,11/06/2024
